sku,nombre,categoria_id,proveedor_id,unidad_medida,costo_promedio,margen_personalizado,margen_personalizado_mayorista,mostrar_precio_kilo,stock_minimo
CER-001,ALMOH DE AVELLANA,2,1,GRAMO,7040,70,30,FALSE,2500
CER-002,ALMOH DE CHOCOLATE,2,1,GRAMO,7865,65,30,FALSE,2500
CER-003,ALMOH DE FRUTILLA,2,1,GRAMO,7040,70,30,FALSE,2500
CER-004,ALMOH. DE LIMON,2,1,GRAMO,7040,70,30,FALSE,2500
CER-005,ANILLITOS FRUTADOS,2,1,GRAMO,5365,86,30,FALSE,2500
CER-006,BASTON DE SALVADO,2,1,GRAMO,4400,82,30,FALSE,2500
CER-007,BOLITAS DE CHOCOLATE,2,1,GRAMO,5755,74,30,FALSE,2500
CER-008,GRANOLA,2,2,GRAMO,6160,78,30,TRUE,3000
CER-009,COPOS DE MAIZ,2,1,GRAMO,4483,78,30,FALSE,2500
CER-010,OSITOS DE AVENA,2,1,GRAMO,5363,86,30,FALSE,2500
CER-011,TUTUCAS C/AZUCAR,2,1,GRAMO,3000,167,30,FALSE,2500
CER-012,TUTUCAS C/STEVIA,2,1,GRAMO,3667,173,30,FALSE,2500
CER-013,MIX DE CEREALES,2,1,GRAMO,4760,68,30,FALSE,2500
CER-014,QUINOA POP,2,1,GRAMO,7000,71,30,FALSE,2500
CER-015,GRANOLA CROCANTE,2,2,KILO,6160,42,42,FALSE,3000
CER-016,GRANOLA C/PASTA MANI,2,2,KILO,6160,42,42,FALSE,3000
